"order_date","gmv","order_count","average_order_value","new_users","active_users_per_day"
"2017-05-01",13923.19,111,125.43,111,111
"2017-05-02",19905.71,122,163.16,122,122
"2017-05-03",12124.87,101,120.05,101,101
"2017-05-04",15778.17,107,147.46,107,107
"2017-05-05",15920.31,104,153.08,104,104
"2017-05-06",16618.04,103,161.34,103,103
"2017-05-07",18674.86,102,183.09,102,102
"2017-05-08",18708.37,120,155.9,120,120
"2017-05-09",23492.4,120,195.77,120,120
"2017-05-10",22648.56,109,207.78,109,109
"2017-05-11",21063.52,124,169.87,124,124
"2017-05-12",13918.65,105,132.56,105,105
"2017-05-13",9781.86,67,146.0,67,67
"2017-05-14",16520.56,108,152.97,108,108
"2017-05-15",21065.32,149,141.38,149,149
"2017-05-16",24213.16,149,162.5,149,149
"2017-05-17",21127.09,139,151.99,139,139
"2017-05-18",20806.7,124,167.8,124,124
"2017-05-19",20483.89,140,146.31,140,140
"2017-05-20",12239.93,70,174.86,70,70
"2017-05-21",20063.3,145,138.37,145,145
"2017-05-22",27312.02,145,188.36,145,145
"2017-05-23",19919.26,120,165.99,120,120
"2017-05-24",26552.81,140,189.66,140,140
"2017-05-25",17383.91,103,168.78,103,103
"2017-05-26",12246.38,77,159.04,77,77
"2017-05-27",15158.26,77,196.86,77,77
"2017-05-28",11120.71,98,113.48,98,98
"2017-05-29",20620.45,151,136.56,151,151
"2017-05-30",15732.56,98,160.54,98,98
"2017-05-31",21941.91,118,185.95,118,118
"2017-06-01",21749.38,123,176.82,123,123
"2017-06-02",21013.76,123,170.84,123,123
"2017-06-03",12232.84,88,139.01,88,88
"2017-06-04",15701.85,99,158.6,99,99
"2017-06-05",25970.01,142,182.89,142,142
"2017-06-06",16125.71,128,125.98,128,128
"2017-06-07",15102.21,122,123.79,122,122
"2017-06-08",21919.44,134,163.58,134,134
"2017-06-09",18447.99,105,175.7,105,105
"2017-06-10",9467.0,72,131.49,72,72
"2017-06-11",16397.4,111,147.72,111,111
"2017-06-12",16726.27,121,138.23,121,121
"2017-06-13",16307.27,121,134.77,121,121
"2017-06-14",23217.67,128,181.39,128,128
"2017-06-15",14140.56,103,137.29,103,103
"2017-06-16",14547.83,94,154.76,94,94
"2017-06-17",12474.05,72,173.25,72,72
"2017-06-18",17556.37,87,201.8,87,87
"2017-06-19",25319.01,152,166.57,152,152
"2017-06-20",13653.9,90,151.71,90,90
"2017-06-21",7199.7,34,211.76,34,34
"2017-06-22",10159.55,83,122.4,83,83
"2017-06-23",15044.51,103,146.06,103,103
"2017-06-24",9781.5,74,132.18,74,74
"2017-06-25",19861.19,99,200.62,99,99
"2017-06-26",14631.39,67,218.38,67,67
"2017-06-27",19609.72,140,140.07,140,140
"2017-06-28",16840.29,117,143.93,117,117
"2017-06-29",14276.78,110,129.79,110,110
"2017-06-30",14750.45,93,158.61,93,93
"2017-07-01",13357.44,77,173.47,77,77
"2017-07-02",13372.33,102,131.1,102,102
"2017-07-03",17715.56,111,159.6,111,111
"2017-07-04",17626.42,120,146.89,120,120
"2017-07-05",23844.87,138,172.79,138,138
"2017-07-06",24168.19,140,172.63,140,140
"2017-07-07",15647.8,114,137.26,114,114
"2017-07-08",11897.07,83,143.34,83,83
"2017-07-09",9915.73,88,112.68,88,88
"2017-07-10",20397.34,140,145.7,140,140
"2017-07-11",22602.06,158,143.05,158,158
"2017-07-12",21775.74,145,150.18,145,145
"2017-07-13",17675.37,131,134.93,131,131
"2017-07-14",21665.78,148,146.39,148,148
"2017-07-15",13070.37,97,134.75,97,97
"2017-07-16",15084.95,107,140.98,107,107
"2017-07-17",25134.75,162,155.15,162,162
"2017-07-18",31860.71,188,169.47,188,188
"2017-07-19",19302.12,148,130.42,148,148
"2017-07-20",21031.58,139,151.31,139,139
"2017-07-21",14917.53,112,133.19,112,112
"2017-07-22",13279.2,87,152.63,87,87
"2017-07-23",13682.85,101,135.47,101,101
"2017-07-24",21300.63,157,135.67,157,157
"2017-07-25",19767.31,145,136.33,145,145
"2017-07-26",13352.49,117,114.12,117,117
"2017-07-27",18440.82,121,152.4,121,121
"2017-07-28",22607.76,130,173.91,130,130
"2017-07-29",17426.579999999998,109,159.88,109,109
"2017-07-30",14388.61,114,126.22,114,114
"2017-07-31",20093.97,143,140.52,143,143
"2017-08-01",24811.88,161,154.11,161,161
"2017-08-02",20673.81,149,138.75,149,149
"2017-08-03",21257.46,144,147.62,144,144
"2017-08-04",21112.7,139,151.89,139,139
"2017-08-05",14282.710000000001,113,126.4,113,113
"2017-08-06",15305.72,105,145.77,105,105
"2017-08-07",26629.34,157,169.61,157,157
"2017-08-08",21541.13,146,147.54,146,146
"2017-08-09",23298.079999999998,140,166.41,140,140
"2017-08-10",23196.09,154,150.62,154,154
"2017-08-11",22067.71,133,165.92,133,133
"2017-08-12",14433.45,91,158.61,91,91
"2017-08-13",14373.59,90,159.71,90,90
"2017-08-14",21245.89,153,138.86,153,153
"2017-08-15",26883.56,186,144.54,186,186
"2017-08-16",24367.86,166,146.79,166,166
"2017-08-17",21116.33,153,138.02,153,153
"2017-08-18",19514.79,141,138.4,141,141
"2017-08-19",15031.02,106,141.8,106,106
"2017-08-20",14955.17,103,145.2,103,103
"2017-08-21",25168.01,172,146.33,172,172
"2017-08-22",19680.579999999998,135,145.78,135,135
"2017-08-23",18593.79,111,167.51,111,111
"2017-08-24",15814.19,123,128.57,123,123
"2017-08-25",16589.62,117,141.79,117,117
"2017-08-26",11658.23,89,130.99,89,89
"2017-08-27",15414.3,115,134.04,115,115
"2017-08-28",24637.72,150,164.25,150,150
"2017-08-29",36458.7,135,270.06,135,135
"2017-08-30",33063.14,173,191.12,173,173
"2017-08-31",22824.04,143,159.61,143,143
"2017-09-01",31797.13,153,207.82,153,153
"2017-09-02",20215.96,102,198.2,102,102
"2017-09-03",30749.170000000002,123,249.99,123,123
"2017-09-04",28186.68,147,191.75,147,147
"2017-09-05",24058.05,151,159.32,151,151
"2017-09-06",28254.37,138,204.74,138,138
"2017-09-07",19096.76,97,196.87,97,97
"2017-09-08",14069.01,111,126.75,111,111
"2017-09-09",17086.05,103,165.88,103,103
"2017-09-10",20041.51,132,151.83,132,132
"2017-09-11",26817.75,176,152.37,176,176
"2017-09-12",31485.63,200,157.43,200,200
"2017-09-13",31513.56,203,155.24,203,203
"2017-09-14",26057.64,163,159.86,163,163
"2017-09-15",21050.7,144,146.19,144,144
"2017-09-16",21758.71,125,174.07,125,125
"2017-09-17",22826.04,125,182.61,125,125
"2017-09-18",31137.99,179,173.96,179,179
"2017-09-19",22906.86,149,153.74,149,149
"2017-09-20",25726.43,158,162.83,158,158
"2017-09-21",21483.11,144,149.19,144,144
"2017-09-22",18108.13,133,136.15,133,133
"2017-09-23",11530.58,81,142.35,81,81
"2017-09-24",15371.22,112,137.24,112,112
"2017-09-25",20365.15,129,157.87,129,129
"2017-09-26",24567.7,174,141.19,174,174
"2017-09-27",24083.23,144,167.24,144,144
"2017-09-28",26042.47,140,186.02,140,140
"2017-09-29",31075.78,109,285.1,109,109
"2017-09-30",13706.619999999999,105,130.54,105,105
"2017-10-01",21048.67,124,169.75,124,124
"2017-10-02",24937.45,140,178.12,140,140
"2017-10-03",29647.5,193,153.61,193,193
"2017-10-04",24518.81,156,157.17,156,156
"2017-10-05",28373.15,138,205.6,138,138
"2017-10-06",19876.13,124,160.29,124,124
"2017-10-07",17222.96,100,172.23,100,100
"2017-10-08",19424.09,124,156.65,124,124
"2017-10-09",33381.74,187,178.51,187,187
"2017-10-10",31450.93,175,179.72,175,175
"2017-10-11",21848.65,151,144.69,151,151
"2017-10-12",21724.54,136,159.74,136,136
"2017-10-13",25707.8,150,171.39,150,150
"2017-10-14",15715.4,114,137.85,114,114
"2017-10-15",21097.05,117,180.32,117,117
"2017-10-16",34435.34,188,183.17,188,188
"2017-10-17",34316.96,195,175.98,195,195
"2017-10-18",31501.88,176,178.99,176,176
"2017-10-19",26785.55,172,155.73,172,172
"2017-10-20",21436.4,118,181.66,118,118
"2017-10-21",16798.55,104,161.52,104,104
"2017-10-22",22539.73,152,148.29,152,152
"2017-10-23",25132.41,152,165.34,152,152
"2017-10-24",25677.06,162,158.5,162,162
"2017-10-25",20594.98,152,135.49,152,152
"2017-10-26",24937.53,140,178.13,140,140
"2017-10-27",23083.02,130,177.56,130,130
"2017-10-28",18741.9,85,220.49,85,85
"2017-10-29",20055.170000000002,129,155.47,129,129
"2017-10-30",22367.93,138,162.09,138,138
"2017-10-31",26760.989999999998,156,171.54,156,156
"2017-11-01",22029.14,108,203.97,108,108
"2017-11-02",23825.62,117,203.64,117,117
"2017-11-03",26036.079999999998,138,188.67,138,138
"2017-11-04",22074.22,106,208.25,106,106
"2017-11-05",19815.71,137,144.64,137,137
"2017-11-06",32103.93,182,176.4,182,182
"2017-11-07",23399.010000000002,154,151.94,154,154
"2017-11-08",22458.68,169,132.89,169,169
"2017-11-09",28045.15,182,154.09,182,182
"2017-11-10",22010.46,159,138.43,159,159
"2017-11-11",26054.420000000002,152,171.41,152,152
"2017-11-12",25953.39,170,152.67,170,170
"2017-11-13",28691.3,197,145.64,197,197
"2017-11-14",30765.71,184,167.2,184,184
"2017-11-15",26278.59,176,149.31,176,176
"2017-11-16",32236.15,219,147.2,219,219
"2017-11-17",33589.38,185,181.56,185,185
"2017-11-18",26543.38,141,188.25,141,141
"2017-11-19",23273.59,157,148.24,157,157
"2017-11-20",49081.73,219,224.12,219,219
"2017-11-21",38509.62,222,173.47,222,222
"2017-11-22",28780.66,190,151.48,190,190
"2017-11-23",49748.17,268,185.63,268,268
"2017-11-24",175250.94,1147,152.79,1147,1147
"2017-11-25",70684.27,487,145.14,487,487
"2017-11-26",52164.38,382,136.56,382,382
"2017-11-27",55887.37,395,141.49,395,395
"2017-11-28",55990.31,372,150.51,372,372
"2017-11-29",46164.9,314,147.02,314,314
"2017-11-30",36081.79,260,138.78,260,260
"2017-12-01",44851.78,267,167.98,267,267
"2017-12-02",35251.72,212,166.28,212,212
"2017-12-03",33708.24,227,148.49,227,227
"2017-12-04",51732.07,322,160.66,322,322
"2017-12-05",39049.39,269,145.17,269,269
"2017-12-06",44917.89,269,166.98,269,269
"2017-12-07",32437.07,223,145.46,223,223
"2017-12-08",33204.45,210,158.12,210,210
"2017-12-09",23321.18,154,151.44,154,154
"2017-12-10",27637.73,184,150.21,184,184
"2017-12-11",38433.88,262,146.69,262,262
"2017-12-12",37772.83,251,150.49,251,251
"2017-12-13",33708.8,215,156.79,215,215
"2017-12-14",29203.3,195,149.76,195,195
"2017-12-15",30506.85,185,164.9,185,185
"2017-12-16",22701.56,129,175.98,129,129
"2017-12-17",21775.65,130,167.51,130,130
"2017-12-18",33370.1,205,162.78,205,205
"2017-12-19",23858.26,173,137.91,173,173
"2017-12-20",30531.41,168,181.73,168,168
"2017-12-21",21104.96,140,150.75,140,140
"2017-12-22",16443.08,108,152.25,108,108
"2017-12-23",13952.53,101,138.14,101,101
"2017-12-24",6653.69,57,116.73,57,57
"2017-12-25",12059.380000000001,86,140.23,86,86
"2017-12-26",23280.78,165,141.1,165,165
"2017-12-27",20625.7,164,125.77,164,164
"2017-12-28",17358.5,143,121.39,143,143
"2017-12-29",18620.09,132,141.06,132,132
"2017-12-30",15201.6,96,158.35,96,96
"2017-12-31",9924.7,71,139.78,71,71
"2018-01-01",8307.36,72,115.38,72,72
"2018-01-02",28935.99,200,144.68,200,200
"2018-01-03",35871.97,219,163.8,219,219
"2018-01-04",39137.4,248,157.81,248,248
"2018-01-05",30267.04,197,153.64,197,197
"2018-01-06",32447.81,213,152.34,213,213
"2018-01-07",32749.23,192,170.57,192,192
"2018-01-08",43927.03,287,153.06,287,287
"2018-01-09",34951.14,246,142.08,246,246
"2018-01-10",43643.99,271,161.05,271,271
"2018-01-11",45892.54,260,176.51,260,260
"2018-01-12",35877.3,234,153.32,234,234
"2018-01-13",31871.73,211,151.05,211,211
"2018-01-14",34947.35,229,152.61,229,229
"2018-01-15",44190.84,300,147.3,300,300
"2018-01-16",48957.92,296,165.4,296,296
"2018-01-17",41255.67,277,148.94,277,277
"2018-01-18",32644.24,236,138.32,236,236
"2018-01-19",32215.2,225,143.18,225,225
"2018-01-20",26667.760000000002,182,146.53,182,182
"2018-01-21",25653.42,188,136.45,188,188
"2018-01-22",42966.090000000004,305,140.87,305,305
"2018-01-23",39504.02,256,154.31,256,256
"2018-01-24",35959.91,236,152.37,236,236
"2018-01-25",33912.46,226,150.06,226,226
"2018-01-26",38752.79,223,173.78,223,223
"2018-01-27",24568.62,150,163.79,150,150
"2018-01-28",25685.11,149,172.38,149,149
"2018-01-29",35457.08,242,146.52,242,242
"2018-01-30",34186.5,248,137.85,248,248
"2018-01-31",37201.35,251,148.21,251,251
"2018-02-01",35200.93,227,155.07,227,227
"2018-02-02",31573.64,207,152.53,207,207
"2018-02-03",26742.03,189,141.49,189,189
"2018-02-04",27687.48,197,140.55,197,197
"2018-02-05",41183.29,265,155.41,265,265
"2018-02-06",39162.3,262,149.47,262,262
"2018-02-07",35845.39,242,148.12,242,242
"2018-02-08",31531.31,225,140.14,225,225
"2018-02-09",34643.87,208,166.56,208,208
"2018-02-10",24342.08,174,139.9,174,174
"2018-02-11",25377.01,165,153.8,165,165
"2018-02-12",27569.29,214,128.83,214,214
"2018-02-13",27425.09,217,126.38,217,217
"2018-02-14",42778.65,287,149.05,287,287
"2018-02-15",36737.77,270,136.07,270,270
"2018-02-16",31451.27,210,149.77,210,210
"2018-02-17",29049.53,198,146.71,198,198
"2018-02-18",28548.16,199,143.46,199,199
"2018-02-19",32947.13,251,131.26,251,251
"2018-02-20",42199.24,283,149.11,283,283
"2018-02-21",36890.27,260,141.89,260,260
"2018-02-22",35576.59,268,132.75,268,268
"2018-02-23",32866.43,232,141.67,232,232
"2018-02-24",27999.58,188,148.93,188,188
"2018-02-25",33900.73,231,146.76,231,231
"2018-02-26",49659.98,290,171.24,290,290
"2018-02-27",46614.44,293,159.09,293,293
"2018-02-28",51007.4,303,168.34,303,303
"2018-03-01",45237.19,268,168.8,268,268
"2018-03-02",36904.02,262,140.86,262,262
"2018-03-03",30780.47,205,150.15,205,205
"2018-03-04",35533.64,228,155.85,228,228
"2018-03-05",43688.21,252,173.37,252,252
"2018-03-06",44866.09,268,167.41,268,268
"2018-03-07",41584.0,254,163.72,254,254
"2018-03-08",33059.59,227,145.64,227,227
"2018-03-09",32245.91,197,163.68,197,197
"2018-03-10",29722.84,185,160.66,185,185
"2018-03-11",36317.38,215,168.92,215,215
"2018-03-12",35245.42,228,154.59,228,228
"2018-03-13",40303.17,217,185.73,217,217
"2018-03-14",27150.51,195,139.23,195,195
"2018-03-15",48505.73,272,178.33,272,272
"2018-03-16",37682.45,242,155.71,242,242
"2018-03-17",23542.99,176,133.77,176,176
"2018-03-18",35452.6,211,168.02,211,211
"2018-03-19",51213.97,293,174.79,293,293
"2018-03-20",42122.06,292,144.25,292,292
"2018-03-21",45667.68,277,164.87,277,277
"2018-03-22",36150.42,249,145.18,249,249
"2018-03-23",31492.41,209,150.68,209,209
"2018-03-24",27433.67,163,168.3,163,163
"2018-03-25",29948.35,188,159.3,188,188
"2018-03-26",41107.03,266,154.54,266,266
"2018-03-27",39310.44,239,164.48,239,239
"2018-03-28",31423.56,210,149.64,210,210
"2018-03-29",32834.01,188,174.65,188,188
"2018-03-30",25998.0,163,159.5,163,163
"2018-03-31",28154.19,164,171.67,164,164
"2018-04-01",33208.59,201,165.22,201,201
"2018-04-02",46569.05,274,169.96,274,274
"2018-04-03",41814.26,243,172.08,243,243
"2018-04-04",42190.71,252,167.42,252,252
"2018-04-05",41827.99,261,160.26,261,261
"2018-04-06",30713.51,181,169.69,181,181
"2018-04-07",28285.11,161,175.68,161,161
"2018-04-08",27508.1,183,150.32,183,183
"2018-04-09",55344.94,250,221.38,250,250
"2018-04-10",31879.46,196,162.65,196,196
"2018-04-11",44426.54,262,169.57,262,262
"2018-04-12",39744.34,253,157.09,253,253
"2018-04-13",34785.48,197,176.58,197,197
"2018-04-14",22305.81,145,153.83,145,145
"2018-04-15",36151.24,219,165.07,219,219
"2018-04-16",46881.58,276,169.86,276,276
"2018-04-17",39357.93,258,152.55,258,258
"2018-04-18",44858.48,271,165.53,271,271
"2018-04-19",49231.13,287,171.54,287,287
"2018-04-20",31389.13,192,163.49,192,192
"2018-04-21",22309.62,154,144.87,154,154
"2018-04-22",31803.77,199,159.82,199,199
"2018-04-23",43741.62,283,154.56,283,283
"2018-04-24",48920.61,265,184.61,265,265
"2018-04-25",46862.93,279,167.97,279,279
"2018-04-26",36424.31,250,145.7,250,250
"2018-04-27",45327.22,237,191.25,237,237
"2018-04-28",25846.43,166,155.7,166,166
"2018-04-29",22756.58,168,135.46,168,168
"2018-04-30",40467.48,235,172.2,235,235
"2018-05-01",37921.15,252,150.48,252,252
"2018-05-02",42472.0,287,147.99,287,287
"2018-05-03",47937.340000000004,300,159.79,300,300
"2018-05-04",44708.27,262,170.64,262,262
"2018-05-05",32062.42,192,166.99,192,192
"2018-05-06",32174.89,206,156.19,206,206
"2018-05-07",60805.33,363,167.51,363,363
"2018-05-08",53989.69,323,167.15,323,323
"2018-05-09",49598.24,335,148.05,335,335
"2018-05-10",56936.590000000004,273,208.56,273,273
"2018-05-11",43139.65,244,176.8,244,244
"2018-05-12",33775.17,200,168.88,200,200
"2018-05-13",36076.26,205,175.98,205,205
"2018-05-14",60753.88,355,171.14,355,355
"2018-05-15",49217.98,348,141.43,348,348
"2018-05-16",63960.93,351,182.22,351,351
"2018-05-17",35328.37,224,157.72,224,224
"2018-05-18",35661.17,232,153.71,232,232
"2018-05-19",28140.17,137,205.4,137,137
"2018-05-20",22624.45,158,143.19,158,158
"2018-05-21",28743.66,199,144.44,199,199
"2018-05-22",31382.42,195,160.94,195,195
"2018-05-23",20262.3,132,153.5,132,132
"2018-05-24",22210.47,113,196.55,113,113
"2018-05-25",18137.37,103,176.09,103,103
"2018-05-26",16914.09,99,170.85,99,99
"2018-05-27",14693.68,100,146.94,100,100
"2018-05-28",30114.99,142,212.08,142,142
"2018-05-29",29441.33,149,197.59,149,149
"2018-05-30",22279.17,138,161.44,138,138
"2018-05-31",27373.26,132,207.37,132,132
"2018-06-01",37284.05,184,202.63,184,184
"2018-06-02",28870.67,141,204.76,141,141
"2018-06-03",32375.81,189,171.3,189,189
"2018-06-04",33866.17,222,152.55,222,222
"2018-06-05",35869.159999999996,196,183.01,196,196
"2018-06-06",32176.98,227,141.75,227,227
"2018-06-07",42676.38,223,191.37,223,223
"2018-06-08",31031.82,195,159.14,195,195
"2018-06-09",33831.909999999996,169,200.19,169,169
"2018-06-10",30124.46,190,158.55,190,190
"2018-06-11",57345.56,294,195.05,294,294
"2018-06-12",46630.26,244,191.11,244,244
"2018-06-13",40557.07,253,160.3,253,253
"2018-06-14",32553.16,211,154.28,211,211
"2018-06-15",31134.14,182,171.07,182,182
"2018-06-16",28607.93,162,176.59,162,162
"2018-06-17",20657.67,151,136.81,151,151
"2018-06-18",39773.01,243,163.67,243,243
"2018-06-19",39427.64,228,172.93,228,228
"2018-06-20",34251.5,216,158.57,216,216
"2018-06-21",33152.97,232,142.9,232,232
"2018-06-22",28484.57,177,160.93,177,177
"2018-06-23",21043.65,149,141.23,149,149
"2018-06-24",29291.59,198,147.94,198,198
"2018-06-25",41024.31,238,172.37,238,238
"2018-06-26",36999.52,238,155.46,238,238
"2018-06-27",32505.93,214,151.9,214,214
"2018-06-28",37182.97,239,155.58,239,239
"2018-06-29",24857.31,171,145.36,171,171
"2018-06-30",18502.51,123,150.43,123,123
"2018-07-01",28512.39,159,179.32,159,159
"2018-07-02",29113.41,193,150.85,193,193
"2018-07-03",31209.77,214,145.84,214,214
"2018-07-04",41009.49,251,163.38,251,251
"2018-07-05",33574.05,193,173.96,193,193
"2018-07-06",21828.25,120,181.9,120,120
"2018-07-07",10942.08,89,122.94,89,89
"2018-07-08",17107.22,118,144.98,118,118
"2018-07-09",22894.0,146,156.81,146,146
"2018-07-10",21572.53,129,167.23,129,129
"2018-07-11",21286.74,123,173.06,123,123
"2018-07-12",22767.579999999998,117,194.59,117,117
"2018-07-13",32529.39,167,194.79,167,167
"2018-07-14",25593.41,142,180.24,142,142
"2018-07-15",33876.6,148,228.9,148,148
"2018-07-16",36329.5,238,152.64,238,238
"2018-07-17",34775.6,216,161.0,216,216
"2018-07-18",48588.05,302,160.89,302,302
"2018-07-19",44557.39,249,178.95,249,249
"2018-07-20",37905.62,247,153.46,247,247
"2018-07-21",25130.58,184,136.58,184,184
"2018-07-22",30939.74,213,145.26,213,213
"2018-07-23",47195.4,298,158.37,298,298
"2018-07-24",46345.99,264,175.55,264,264
"2018-07-25",47599.78,264,180.3,264,264
"2018-07-26",41183.98,244,168.79,244,244
"2018-07-27",33017.33,186,177.51,186,186
"2018-07-28",29350.49,172,170.64,172,172
"2018-07-29",34233.31,182,188.1,182,182
"2018-07-30",44165.92,278,158.87,278,278
"2018-07-31",52768.27,313,168.59,313,313
"2018-08-01",48066.11,306,157.08,306,306
"2018-08-02",44852.24,292,153.6,292,292
"2018-08-03",48819.75,308,158.51,308,308
"2018-08-04",40250.11,236,170.55,236,236
"2018-08-05",41282.34,269,153.47,269,269
"2018-08-06",62728.23,363,172.81,363,363
"2018-08-07",55643.03,353,157.63,353,353
"2018-08-08",50376.96,310,162.51,310,310
"2018-08-09",46246.05,280,165.16,280,280
"2018-08-10",38934.43,249,156.36,249,249
"2018-08-11",30511.579999999998,185,164.93,185,185
"2018-08-12",34260.37,191,179.37,191,191
"2018-08-13",45431.38,284,159.97,284,284
"2018-08-14",51138.46,311,164.43,311,311
"2018-08-15",52083.74,282,184.69,282,282
"2018-08-16",41699.15,316,131.96,316,316
"2018-08-17",36948.84,249,148.39,249,249
"2018-08-18",28475.76,193,147.54,193,193
"2018-08-19",29989.35,204,147.01,204,204
"2018-08-20",39054.09,251,155.59,251,251
